
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/ece56a89-9ff8-43e2-99fe-0d8b75096e72?bufferSize=1000&amp;useArrayFormat=true
13:58:45.355 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:45.384 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:45.485 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:45.530 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:45.635 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:45.671 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
13:58:45.674 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:45.785 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:45.811 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:45.916 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:45.960 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:46.065 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:46.099 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:46.205 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:46.228 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:46.353 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:46.372 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:46.495 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:46.518 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:46.624 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:46.659 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:46.668 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
13:58:46.753 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:46.779 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:46.885 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:46.908 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:47.015 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:47.039 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
