
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/24dbec7b-e6b9-4e9d-826b-8823429972d1?bufferSize=1000&amp;useArrayFormat=true
11:13:12.993 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F17C5652362D30303230342E30332E32344641303630363032]
11:13:13.105 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F1DF]
11:13:13.184 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F1DF40]
11:13:13.376 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x220600]
11:13:13.481 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x620600010930281F4500E8372020000000000000000000000000000000000000000000]
11:13:13.583 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F1A0]
11:13:13.685 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x7F78] args[0x07B9,0x00,0x00,0x00] data[0x037F2278AAAAAAAA]
11:13:13.792 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F1A05630333933353431305920]
11:13:13.921 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F1A1]
11:13:14.011 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x7F78] args[0x07B9,0x00,0x00,0x00] data[0x037F2278AAAAAAAA]
11:13:14.083 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F1A130303031]
11:13:14.173 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F1A4]
11:13:14.264 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x7F2231]
11:13:14.446 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x14FFFFFF]
11:13:14.532 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x7F78] args[0x07B9,0x00,0x00,0x00] data[0x037F1478AAAAAAAA]
11:13:15.424 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x54]
11:13:15.553 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x19020C]
