
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/bc6621ee-2af4-400b-8bac-c08e0c3d8b65?bufferSize=1000&amp;useArrayFormat=true
14:09:52.823 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1741] target[0E80] data[62F124505934322D3134433130392D414300000000000000000000]
14:09:52.900 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1710] data[22F124]
14:09:52.925 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1751] target[0E80] data[62F1244D5934322D3134433135322D414100000000000000000000]
14:09:52.984 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17E6] data[22F124]
14:09:52.993 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1710] target[0E80] data[62F1244D5934322D3134453039342D4B434B000000000000000000]
14:09:53.101 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[FFFFE400] data[3E80]
14:09:53.103 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17E6] target[0E80] data[62F124525934322D3134433033372D414245000000000000000000]
14:09:53.181 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1407] data[22F124]
14:09:53.262 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1407] target[0E80] data[7F2231]
14:09:53.278 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1744] data[22F124]
14:09:53.361 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17C6] data[22F124]
14:09:53.474 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1744] target[0E80] data[62F1244D5934322D3134433033342D415000000000000000000000]
14:09:53.524 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17C6] target[0E80] data[62F1244D5934322D3134443536342D414D00000000000000000000]
14:09:53.542 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17C4] data[22F124]
14:09:53.612 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17C4] target[0E80] data[62F1244D5934322D3134443536342D414D00000000000000000000]
14:09:53.618 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1743] data[22F124]
14:09:53.702 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1743] target[0E80] data[62F124505934322D3134433131332D414300000000000000000000]
14:09:53.718 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17C3] data[22F124]
14:09:53.808 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1437] data[22F124]
14:09:53.864 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17C3] target[0E80] data[62F1244D5934322D3134433038352D424600000000000000000000]
14:09:53.914 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1437] target[0E80] data[62F1244D3845322D34433138302D41470000000000000000000000]
14:09:53.926 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1737] data[22F124]
14:09:54.008 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17B6] data[22F124]
14:09:54.024 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1737] target[0E80] data[62F124505934322D3134433039382D414100000000000000000000]
14:09:54.118 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1775] data[22F124]
14:09:54.134 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17B6] target[0E80] data[62F1244D5934322D3134463637322D414100000000000000000000]
14:09:54.209 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1734] data[22F124]
14:09:54.232 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1775] target[0E80] data[62F1244D5934322D3134433132322D414300000000000000000000]
14:09:54.295 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1733] data[22F124]
14:09:54.314 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1734] target[0E80] data[62F1244D5934322D3134433038352D414600000000000000000000]
